Part Name,Link,Qty,Cost per unit ,Total Cost,Supplier,,
4S 900mAh 80C Lipo Battery (2 pack),https://flywoo.net/products/explorer-900mah-hv-15-2v-80c-4s1p-lipo-battery-pack-xt30?srsltid=AfmBOoqYk52xvgN1hudqTwEHYBrPejKUvM0Vc5XxzhzQFIqIlsEeAL-D,1,$45.99,$45.99,Flywoo,Running Total,$310.00
2GT 10mm Bore 6mm Width 40T ,"https://www.aliexpress.us/item/3256809712096251.html?spm=a2g0o.productlist.main.48.4fdc42e47vJ7ju&algo_pvid=63e16e18-f5af-4403-8440-2b84514082f2&algo_exp_id=63e16e18-f5af-4403-8440-2b84514082f2-45&pdp_ext_f=%7B""order""%3A""2""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%219.33%218.40%21%21%2166.10%2159.49%21%402101c44517625423933925867e1461%2112000050515621630%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A16be3b6a%3Bm03_new_user%3A-29895&curPageLogUid=NxV9dZpMnHtu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009898411003%7C_p_origin_prod%3A",1,$8.40,$8.40,AliExpress,,
2GT 20T 3.17mm Bore ,https://www.aliexpress.us/item/3256805823929071.html?src=google&pdp_npi=4%40dis%21USD%212.20%212.09%21%21%21%21%21%40%2112000035314255459%21ppc%21%21%21&gatewayAdapt=glo2usa,1,$2.27,$2.27,AliExpress,,
Propdrive v2 2836,https://hobbyking.com/en_us/propdrive-v2-2836-2700kv-brushless-outrunner-motor.html?wrh_pdp=2&utm_source=google&utm_medium=cpc&utm_campaign=google_us_shopping&countrycode=US&srsltid=AfmBOoqg7xIk1QsQQ315UGB8KqGfdQxkAxbs5BhgwOL4eKVi32_JurW3tPo,1,$23.27,$23.27,HobbyKing,,
Aria 70A ESC,https://itgresa.com/product/aria-70a-blheli-brushless-speed-controller,1,$38.00,$38.00,ItGresa,,
"White UHMW Sheet Stock 12"" L x 12"" W x 0.375"" Thick",https://www.zoro.com/zoro-select-white-uhmw-sheet-stock-12-l-x-12-w-x-0375-thick-bulk-ps-uhmw-65/i/G0626071/?utm_source=chatgpt.com,1,$18.45,$18.45,Zoro,,
Weapon,SendCutSend,2,$12.58,$25.16,SendCutSend,,
Wedge,SendCutSend,1,$19.87,$19.87,SendCutSend,,
Pololu Universal Hub 2pck,https://www.pololu.com/product/1083,1,$12.95,$12.95,Pololu,,
Repeat Long Drive Axles,https://itgresa.com/product/rr-drive-axle-bw-long/?srsltid=AfmBOor_BRx-G_9H7LUYyeGhE_UB97ZTEsZl7IMuDuMlonA31PxgVrbh,2,$6.00,$12.00,ItGresa,,
PU Belt 10ft 3mm ,https://www.amazon.com/uxcell-Polyurethane-Meters-Transmission-Surface/dp/B0D5RGRXGM/ref=pd_bxgy_thbs_d_sccl_1/136-6716910-9673525?pd_rd_w=3L7Zd&content-id=amzn1.sym.de9a1315-b9df-4c24-863c-7afcb2e4cc0a&pf_rd_p=de9a1315-b9df-4c24-863c-7afcb2e4cc0a&pf_rd_r=74KDPK5N4G4SPRT2GCW5&pd_rd_wg=oZDjx&pd_rd_r=fad91232-6019-420a-a6e3-35f51e77a019&pd_rd_i=B0D5RGRXGM&th=1,1,$6.09,$6.09,Amazon,,
"Needle Roller Bearing 1/4"" 7/16"" OD (Drive)",https://itgresa.com/product/fingertech-needle-bearings,2,$6.48,$12.96,ItGresa,,
"uxcell HK0608 Drawn Cup Needle Roller Bearings, Open End, 6mm Bore Dia, 10mm OD, 8mm Width (Pack of 10)",https://www.amazon.com/uxcell-HK0609-Needle-Roller-Bearings/dp/B07GC8WZVV/ref=sr_1_1?crid=2SC82S5TN2ZW6&dib=eyJ2IjoiMSJ9.YwOgfurSLOewfXH6pykKFIbLBMXCVNm8yP5gu_PL2Vmx-KxJc_MLflKbgr5NyZKj33HDTxQKXQvcleqnAXI_mcITN81TsADjl_8pj1Oz5Z8hcqTFtvI6hOMDxXAwe3TIFTgNspzPDyNPZzRCTk8myY3VzYh-x220imST_pJHLD8L3QCMyBaFWY4pz3G3O36jSoWcm6qqnOHotQgF6CGvA_bXwted3EYNKp6DfcRLlez3ocdn88SKG5z4Gv9PdyLJjJSX4YnSFS8ntHARdqHyaJKw-ogsWKuibKfB8GlSzQQ.BZsz66M78RECRe12xKIsHiqVeaEn4x1ELEtyqm8NwXY&dib_tag=se&keywords=6mm%2BBore%2Bneedle%2Broller%2B9mm%2Bwidth&qid=1763423226&s=industrial&sprefix=6mm%2Bbore%2Bneedle%2Broller%2B9mm%2Bwidt%2Cindustrial%2C75&sr=1-1&th=1,1,$8.39,$8.39,Amazon,,
"M3 Inserts (4.2mm OD, 4mm Length)",https://www.aliexpress.us/item/3256807986009768.html?algo_pvid=cd8cf62d-6150-44b6-b853-c24ca546bd84&algo_exp_id=cd8cf62d-6150-44b6-b853-c24ca546bd84-2&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.13%211.26%21%21%2115.06%218.89%21%402103212b17634003546896894e763c%2112000044096345390%21sea%21US%216211510477%21X%211%210%21n_tag%3A-29919%3Bd%3A16be3b6a%3Bm03_new_user%3A-29895&curPageLogUid=0bSCZwkPp1qX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008172324520%7C_p_origin_prod%3A,3,$3.74,$13.50,Aliexpress,,
"M4 Inserts (6mm OD, 4mm Length)",https://www.aliexpress.us/item/3256807986009768.html?algo_pvid=cd8cf62d-6150-44b6-b853-c24ca546bd84&algo_exp_id=cd8cf62d-6150-44b6-b853-c24ca546bd84-2&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.13%211.26%21%21%2115.06%218.89%21%402103212b17634003546896894e763c%2112000044096345390%21sea%21US%216211510477%21X%211%210%21n_tag%3A-29919%3Bd%3A16be3b6a%3Bm03_new_user%3A-29895&curPageLogUid=0bSCZwkPp1qX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008172324520%7C_p_origin_prod%3A,2,$4.66,$9.32,Aliexpress,,
Shoulder Bolt Forks,https://www.amazon.com/MECCANIXITY-Stainless-Hydraulic-Injection-Industries/dp/B0FDQ57LHD/ref=sr_1_3?crid=33Z0481D8CHC5&dib=eyJ2IjoiMSJ9.k6geKAdq9hJ7KEM2NMwJjlSj5yrpe51jojKYH4IID6voYKrIUA13jBD2KEd4Pa4JzmIpc8W---pqKY5dgQoP_84Mg3CtMiShm8ciT0g6hMtOJ3NF_EnkxkoTpBLXmMWpYGKXibFZDjS6S5t8Fkzed1ewnG_33QcCgYv9v_zUjSmh0QxMz94Uztke13nUsLs2HYbKIKMNbt2LlGZqRZujGSh61q9dsgtx68DhrL3rslc.uw51C8y4bSzEFraUO1b7Wy0GCwe1RB7dQzyGVUtJJTQ&dib_tag=se&keywords=4mm%2Bx%2B50mm%2Bshoulder%2Bbolt&qid=1763348144&sprefix=4mm%2Bx%2B50mm%2Bshoulder%2Bbol%2Caps%2C139&sr=8-3&th=1,1,$7.49,$8.71,Amazon,,
Hex socket head cap screw M3x0.50 x 6 ,https://boltdepot.com/Product-Details?product=6378,12,$0.05,$0.60,Bolt Depot,,
Hex socket head cap screw M4x0.70 x 6 ,https://boltdepot.com/Product-Details?product=6391,12,$0.08,$0.96,Bolt Depot,,
Socket button head screw M4x0.7 x 6 ,https://boltdepot.com/Product-Details?product=6620,12,$0.11,$1.32,Bolt Depot,,
Socket button head screw M4x0.7 x 12 ,https://boltdepot.com/Product-Details?product=6624,30,$0.12,$3.60,Bolt Depot,,
Socket button head screw M5x0.8 x 12 ,https://boltdepot.com/Product-Details?product=6633,6,$0.17,$1.02,Bolt Depot,,
Hex nut grade A & B M4x0.7 (nylon),https://boltdepot.com/Product-Details?product=4793,36,$0.08,$2.88,Bolt Depot,,
Hex nut grade A & B M5x0.8 (nylon),https://boltdepot.com/Product-Details?product=4794,10,$0.09,$0.90,Bolt Depot,,
Hex socket head cap screw M3x0.50 x 8  ,https://boltdepot.com/Product-Details?product=6379,24,$0.06,$1.44,Bolt Depot,,
Socket button head screw M5x0.8 x 16 ,https://boltdepot.com/Product-Details?product=6409,3,$0.15,$0.45,Bolt Depot,,
Socket head cap screw #8-32 x 0.5 ,https://boltdepot.com/Product-Details?product=4852,24,$0.09,$2.16,Bolt Depot,,
Hex nut #8-32 (nylon),https://boltdepot.com/Product-Details?product=2551,6,$0.09,$0.54,Bolt Depot,,
Socket head cap screw #4-40 x 0.625 ,https://boltdepot.com/Product-Details?F_Units=US&Category=Socket_screws&Head_style=Socket_cap&Knurled=&Drive_type=Allen&Material=Stainless_steel&Plating=&Grade=18--8&Finish=&Thread_density=Coarse&F_Diameter=%234&F_Thread_count=40&Thread_pitch=&F_Length=5%2f8%22&Associated=,24,$0.07,$1.68,Bolt Depot,,
OD 9mm x ID 6mm Aluminum Pipe,https://www.aliexpress.us/item/3256809233870067.html?spm=a2g0o.productlist.main.11.2c5228a8KA9zdx&algo_pvid=f29f52ba-b2c0-4743-ab21-8954e9dd41e8&algo_exp_id=f29f52ba-b2c0-4743-ab21-8954e9dd41e8-10&pdp_ext_f=%7B%22order%22%3A%22112%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.10%213.41%21%21%2150.18%2124.09%21%402101c59117634323938007920e5847%2112000049040703172%21sea%21US%214191832532%21X%211%210%21n_tag%3A-29919%3Bd%3Ae0eba596%3Bm03_new_user%3A-29895&curPageLogUid=ZAcVcatQavM7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009420184819%7C_p_origin_prod%3A,1,$3.77,$3.77,Bolt Depot,,
2GT 6mm x 118T Timing Belt ,"https://www.aliexpress.us/item/3256808692445707.html?spm=a2g0o.productlist.main.12.65edqwTsqwTsYu&algo_pvid=d8df7874-b29c-4276-95b1-20854b739132&algo_exp_id=d8df7874-b29c-4276-95b1-20854b739132-11&pdp_ext_f=%7BB""order""%3A""245""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%214.26%212.00%21%21%2130.09%2114.14%21%4021032f3717634335298603751eecfa%2112000047104876887%21sea%21US%216297555235%21ABX%211%210%21n_tag%3A-29910%3Bd%3A782a1452%3Bm03_new_user%3A-29895&curPageLogUid=f3042bPEqWjo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008878760459%7C_p_origin_prod%3A",2,$2.08,$4.16,Aliexpress,,
M3 Lock Nuts,https://boltdepot.com/Product-Details?product=4792,4,$0.07,$0.28,Bolt Depot,,
6mm x 60mm Shoulder Bolt M5 Thread,https://boltdepot.com/Product-Details?product=6427,2,$0.62,$1.24,Bolt Depot,,
